url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=75940106,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
https://prod.danawa.com/info/?pcode=90890663,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=78984077,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=97408256,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=40890401,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=39566351,정상,Normal,46.88,0.0784,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=103601357,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=58849820,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=47511173,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=77964890,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=108402053,정상,Credible,71.93,0.8186,정상,Credible,71.78,0.8261
https://prod.danawa.com/info/?pcode=102356231,정상,Normal,38.33,0.0,정상,Normal,38.33,0.0
https://prod.danawa.com/info/?pcode=97564493,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=103807952,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=75932915,정상,Normal,56.65,0.4681,정상,Normal,60.7,0.4946
https://prod.danawa.com/info/?pcode=108367196,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=106749659,정상,Credible,72.95,0.7941,정상,Credible,73.32,0.7941
https://prod.danawa.com/info/?pcode=122660581,정상,Suspected,0.0,0.0,정상,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=103453775,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=65305238,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=47532389,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=85651967,정상,Normal,56.17,0.4681,정상,Normal,60.9,0.4988
https://prod.danawa.com/info/?pcode=106695344,정상,Normal,37.73,0.0,정상,Normal,38.33,0.0
https://prod.danawa.com/info/?pcode=91039805,정상,Normal,46.85,0.0781,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=96368909,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=76550360,정상,Normal,60.81,0.5648,정상,Normal,65.16,0.5774
https://prod.danawa.com/info/?pcode=90890669,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=93858674,정상,Normal,47.9,0.0,정상,Normal,52.56,0.0
https://prod.danawa.com/info/?pcode=109598759,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=94934756,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=20260760,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122627055,정상,Credible,71.08,0.7734,정상,Credible,71.97,0.7849
https://prod.danawa.com/info/?pcode=20362526,정상,Normal,58.87,0.4906,정상,Normal,61.43,0.5
https://prod.danawa.com/info/?pcode=19813724,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=78982952,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=61442081,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=96259271,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=75933608,정상,Normal,55.45,0.4681,정상,Normal,60.7,0.4946
https://prod.danawa.com/info/?pcode=97110353,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=71972204,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=89526497,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=20260757,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=31655570,정상,Normal,48.98,0.0896,정상,Normal,55.76,0.1328
https://prod.danawa.com/info/?pcode=19550933,정상,Normal,44.0,0.0389,정상,Normal,53.59,0.1288
https://prod.danawa.com/info/?pcode=62069996,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=103751678,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=106481861,정상,Normal,46.88,0.0784,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=95203421,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=95203463,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=95000411,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
